Copulae,Execution Delay,Annualized Return,Annualized Volatility,Annualized Sharpe Ratio,Annualized Sortino Ratio,Skewness,Excess Kurtosis,VaR (0.05),CVaR (0.05),Min,Max,Max Drawdown,Calmar Ratio,Peak,Bottom,Recovery
Mixed,1min,0.20911960322965442,0.9939278297189168,0.21039717067666122,4.090632814584609,23.813064576192545,597.503396427402,-0.0003141215750206424,-0.008415752037367217,-0.26594310483300687,7.305353508936392,-0.27515119733832794,0.7600170569947381,2020-08-06,2020-08-24,2020-08-25 00:00:00
Mixed,2min,0.2952452500987201,1.4095165441691182,0.20946561522820667,2.6345763229494925,22.76831108223382,556.5008716090106,-0.0004323011952572792,-0.01749628145381728,-0.5758692647495139,10.171507316772544,-0.5763183623709454,0.5122954071497838,2020-08-07,2020-08-24,2021-03-29 00:00:00
Mixed,3min,0.1923612599390766,0.8153510697977085,0.23592445887978303,1.230768844644598,16.841836801698435,306.18889186298907,-0.0004634058690631482,-0.036808532670198076,-0.7325216446632923,4.705816449549868,-0.7328122589513009,0.26249732805283216,2020-08-07,2020-08-24,2021-03-29 00:00:00
Mixed,4min,0.20729722096614966,0.735864520931358,0.2817056877586391,1.3570783265600108,15.55470955669328,282.3109798569193,-0.0005268620500881338,-0.024941870717544883,-0.7840692472467675,4.371297975729601,-0.7843672298114196,0.26428592767190034,2020-08-10,2020-08-24,2021-03-29 00:00:00
Mixed,5min,0.19996497272534694,0.6796289469006576,0.29422668595452883,0.913715338141167,11.973819645408872,163.727420352695,-0.0005378741527182567,-0.035835924760292556,-1.109951412656684,2.9362837880435486,-26.38365376805904,0.007579123592329407,2020-08-05,2022-11-29,Not yet recovered
Mixed,6min,0.2380581382603716,0.8270396106031727,0.28784369600719867,1.828027210778261,14.383958725063449,220.35308695374428,-0.0005173395419697883,-0.020502994137381575,-0.6693317540166072,4.167645818793325,-0.6724938430963765,0.3539930375634011,2020-08-04,2020-08-24,2021-03-29 00:00:00
Mixed,7min,0.25090356728715185,0.8866215695240942,0.2829883412624708,1.625387425362654,14.297395968416863,216.07403986705114,-0.0005583491400679025,-0.024895743054302723,-0.7827553345247519,4.328689298151231,-0.7835905238751786,0.32019729647358436,2020-08-04,2020-08-24,2021-03-29 00:00:00
Mixed,8min,0.2219997225318222,0.7847776733890552,0.2828823118439627,1.2621586173214427,15.184455300063062,255.8960181784609,-0.000549511510789638,-0.02795997804311645,-0.8977757779375952,4.087119277716322,-0.8984040400654114,0.2471045460967192,2020-08-04,2020-08-24,2021-03-29 00:00:00
Mixed,9min,0.242885392225678,0.900225663743978,0.26980500779719385,1.1833770038323779,15.448014187588221,261.91266940397065,-0.0005635330797135956,-0.03267786538603362,-1.0558643349972603,4.604376600373437,-36.16575338972629,0.006715894719745426,2020-08-04,2022-10-26,Not yet recovered
Mixed,10min,0.21946020547848033,0.9364057898126158,0.23436442604909194,0.8109149454918871,15.102236603738062,254.83436675050757,-0.0005544946180753267,-0.06526663127319692,-1.1558433203807763,4.814062257687593,-79.48590377486013,0.0027609952841461103,2020-01-13,2022-11-30,Not yet recovered
Mixed,11min,0.2574318104225064,1.0124552619876106,0.2542648747927161,1.0103905633094845,16.105100507480135,284.6813202987094,-0.0005626090357053132,-0.038399850377346716,-1.3032820270369376,5.434587037893595,-254.94899663230603,0.001009738472490563,2020-08-06,2022-12-02,Not yet recovered
Mixed,12min,0.23561355464508654,0.9801719805493826,0.2403798101972126,0.7986754388288686,16.26855919545409,306.8233509571528,-0.0005679056804975774,-0.05006706474317445,-1.480369057572794,5.827073470312437,-387.07790318413737,0.0006086980235939805,2020-08-06,2022-11-30,Not yet recovered
Mixed,13min,0.25866863606738405,1.1065531305093828,0.23376070152936115,0.778245001875855,17.691949067293972,368.1016897164997,-0.000514856418189486,-0.05085893484142963,-1.7373909654153614,7.074340586170946,-618.5342232530272,0.0004181961585035353,2020-08-05,2022-10-26,Not yet recovered
Mixed,14min,0.2805192376533583,1.1856158528822809,0.23660213126486498,0.7664100061942453,17.16975376320554,347.61862588206776,-0.0005175407492192246,-0.05367604418418648,-1.887410556608669,7.436246188134,-864.1758596544094,0.0003246089722588873,2020-08-06,2022-11-29,Not yet recovered
Mixed,15min,0.2749167784357024,1.2466902822772086,0.22051730276868647,0.7554535404086906,17.460095303309743,355.99914486369124,-0.0005363865409113879,-0.0588698795914898,-1.8535587857120404,7.893646243351894,-953.2240743087368,0.00028840729671569375,2020-08-04,2022-11-29,Not yet recovered
Gumbel,1min,-0.0045262793573516875,0.019457116174724825,-0.23262847981713822,-0.15736962443290942,-17.07276696783981,319.47380306192565,-0.00033688953074708516,-0.00839278704792127,-0.11762010438818049,0.00167427839751088,-0.2433718188600791,0.018598206557160858,2022-01-28,2022-04-11,Not yet recovered
Gumbel,2min,0.0012012859354528123,0.022573414492188876,0.053216846563841534,0.056373435566038306,4.919736231977954,324.7981933568711,-0.00044014792277156885,-0.004106046030346768,-0.10582146718447802,0.12768478682850654,-0.10582146718447803,0.011352006047682333,2022-03-28,2022-03-29,2022-03-31 00:00:00
Gumbel,3min,0.006282346429838226,0.04608897349695847,0.13630909853639533,0.38264250566128877,21.20630761514275,508.8500183176879,-0.0004321099940597374,-0.0041353877325067505,-0.05896099097090455,0.3208348973990667,-0.11009433870387807,0.05706330138133552,2022-03-28,2022-03-30,2022-04-01 00:00:00
Gumbel,4min,-0.001468265128587663,0.023095854120183588,-0.06357267070303056,-0.04523277873092937,-13.95073194966343,276.8354212721295,-0.0004894200182705868,-0.007488291904385175,-0.1317350878505212,0.047506881042709906,-0.20759111109276165,0.00707287089923408,2022-03-28,2022-03-30,Not yet recovered
Gumbel,5min,0.004833760060416527,0.06158427756048877,0.07849016424149416,0.12545153431728978,16.616777828365738,409.10389834069895,-0.00046655597975909683,-0.009426196485297918,-0.16161680284378255,0.4032463112847259,-0.2668390673415571,0.018114888905038998,2022-03-24,2022-03-30,2022-04-01 00:00:00
Gumbel,6min,-0.005459902245191881,0.033423091777742414,-0.16335718674679334,-0.12236709698682173,-8.079828750284037,148.89044869707956,-0.00048877198737582,-0.013927650591016633,-0.13587500437182443,0.10592266519334448,-0.3744296499805497,0.0145819174455749,2022-03-24,2022-03-31,Not yet recovered
Gumbel,7min,-0.0028415076440348407,0.02393273418185328,-0.11872891841122696,-0.08767884742862424,-11.998057785104166,261.33703602409076,-0.0005364375341582552,-0.008663707244122352,-0.13567555660449354,0.07205959659833999,-0.24242518258251491,0.01172117357514073,2022-01-28,2022-03-30,Not yet recovered
Gumbel,8min,0.007565460717293344,0.06811788004965022,0.11106424204304333,0.2150515054527268,14.295455850552951,265.8325948544872,-0.0005254949044197257,-0.009062004335174732,-0.1550980243773254,0.35620198484717336,-0.2522233082877938,0.029995089544464077,2022-03-18,2022-03-30,2022-04-01 00:00:00
Gumbel,9min,0.0053165771318090015,0.06520550685988599,0.08153570745540398,0.19171163373107492,22.326556237941286,565.9718011405367,-0.0005539700791923481,-0.007439868631729301,-0.11770505329337848,0.4662532386502411,-0.2040036839328367,0.026061181981200676,2022-03-24,2022-03-30,2022-04-01 00:00:00
Gumbel,10min,0.009306912660646543,0.08535528389955953,0.10903733471964436,0.26428371193930156,20.066484760163128,473.9747691618139,-0.0005201639972823492,-0.009279678417107732,-0.14068409199213888,0.5826865779519526,-0.2571556605416311,0.036191747212734764,2022-03-18,2022-03-30,2022-04-01 00:00:00
Gumbel,11min,0.006838963243092237,0.05292072767292532,0.1292303326847697,0.43421431343340716,22.77549331391222,564.1507295746507,-0.0005263597403961561,-0.004270072490418921,-0.068354786996514,0.37842519219401477,-0.11042452005557284,0.061933375301522015,2022-02-16,2022-03-30,2022-04-01 00:00:00
Gumbel,12min,0.0030705138280024864,0.06545661196114552,0.04690914692965039,0.08194577687963107,19.641374549978284,497.0294587729921,-0.0005109063978509201,-0.010412631579915201,-0.13345508405023812,0.4521595627321113,-0.28873118094011135,0.0106345072188077,2022-02-17,2022-03-31,2022-04-01 00:00:00
Gumbel,13min,-0.0038007730274260336,0.03817711302920741,-0.09955632382464989,-0.07195947455390021,-14.51301958827007,299.61223089412135,-0.0005003483415707716,-0.012489007661605904,-0.2257448087521139,0.07995485855647848,-0.3520535457506077,0.010796008372312985,2022-03-18,2022-03-30,Not yet recovered
Gumbel,14min,-0.0028755045183130688,0.028655707156793133,-0.10034666053011365,-0.07633978410708997,-8.986568368292223,210.2887203900443,-0.0005086350470839806,-0.010261946448133594,-0.14719724201801093,0.09809452104538345,-0.2826141049302481,0.010174667393273848,2022-03-24,2022-03-30,Not yet recovered
Gumbel,15min,0.00024168023539751548,0.031372839478580765,0.0077034861814952475,0.008894112307405473,10.478071112651369,301.60017134394644,-0.0005085353311585247,-0.007862824433846238,-0.08593773440949974,0.18767417129072325,-0.21731387692451895,0.0011121251841706356,2022-01-31,2022-03-30,Not yet recovered
Clayton,1min,-0.004435119294171263,0.019958701429578785,-0.22221482243320795,-0.1522541627818863,-16.44501166624401,289.6655413527441,-0.0002973380015618012,-0.008325853691191465,-0.11559485342216327,0.0023311978455883603,-0.24358108707194254,0.018207978901339475,2022-01-25,2022-04-11,Not yet recovered
Clayton,2min,0.0023303284687564933,0.0220085950193475,0.10588265478591107,0.11339205072967319,4.5903726130230105,293.0206131583709,-0.000412000696247816,-0.003805121061848627,-0.10092140733427472,0.12106013062190928,-0.10092140733427478,0.023090526879375677,2022-03-28,2022-03-29,2022-03-31 00:00:00
Clayton,3min,0.006567526795235894,0.047481995995729054,0.13831614820545107,0.4078481141294089,21.816189020104574,530.1744677326309,-0.000414586470320956,-0.004076390227357445,-0.06418876723977526,0.33411986876380995,-0.10530461002518195,0.062366944748813685,2022-03-28,2022-03-30,2022-04-01 00:00:00
Clayton,4min,0.0042676825523118595,0.03708692866729706,0.11507241784826107,0.20772099234274016,17.857008311662426,428.5805722972609,-0.000500322693865512,-0.004989752648799964,-0.07869660859010671,0.24648307723479262,-0.13521767521361452,0.03156157318612267,2022-03-28,2022-03-30,2022-04-01 00:00:00
Clayton,5min,0.00298205799121922,0.04665547016425734,0.0639165778572256,0.0840069593569935,11.194799463550165,288.94774260944274,-0.0005272081970052794,-0.008945349253244885,-0.14727567529006064,0.273842685394318,-0.2558257551620999,0.011656598020514733,2022-01-28,2022-03-30,2022-04-01 00:00:00
Clayton,6min,-0.003992351592899459,0.031469701535640306,-0.12686334468021598,-0.0960233291879555,-4.657079635144605,148.45889516090827,-0.000534477608271216,-0.012414344473345062,-0.12911074508740386,0.12252691732539585,-0.3402455257244568,0.011733737231074156,2022-01-28,2022-03-31,Not yet recovered
Clayton,7min,-0.0013428456312914666,0.025797144034995854,-0.0520540424734533,-0.04121650436047156,-7.519658126045227,242.8898322739435,-0.0005359532237326681,-0.008178990351406044,-0.13669513798152996,0.10145743395321363,-0.23058577915245662,0.00582362726889422,2022-01-28,2022-03-30,Not yet recovered
Clayton,8min,0.010122543241730998,0.0716564443102734,0.14126493910164234,0.4705163115014497,20.539480930085134,468.06559526393875,-0.0005284574661226139,-0.005888633508194109,-0.08946439557990205,0.4863423709583775,-0.15741490560851906,0.0643048585685089,2022-01-28,2022-03-30,2022-03-31 00:00:00
Clayton,9min,0.008233682449601865,0.06530861090058426,0.12607345855411856,0.368466810245171,20.687390327352755,482.91310702008536,-0.000547669680193244,-0.006466265536584971,-0.08316266084630847,0.44783622577882454,-0.17642029785509172,0.0466708340803554,2022-01-26,2022-03-30,2022-04-01 00:00:00
Clayton,10min,0.012221948054786134,0.09723116871505787,0.12569989866730216,0.35029228840529125,20.35279258615918,470.48683540913464,-0.0005610039844084625,-0.008973305450094326,-0.12430423331260525,0.6617530998543415,-0.24909577626284168,0.04906525609607181,2022-01-26,2022-03-30,2022-04-01 00:00:00
Clayton,11min,0.007072582811565668,0.054858618290940714,0.12892382330988503,0.3846277488155292,22.240966547023593,547.818212148026,-0.0005292420878563656,-0.004881556221626428,-0.08286439596403428,0.38926543893734433,-0.12475321100238984,0.05669259135486446,2022-01-31,2022-03-30,2022-04-01 00:00:00
Clayton,12min,0.0036128903808990646,0.0539305711111035,0.06699150975902098,0.11833836091806488,19.745793493001383,506.2350168265246,-0.0004923250836341311,-0.0077743239538198205,-0.13189684933990845,0.37393389453208814,-0.21707593379695883,0.016643440466681893,2022-01-28,2022-03-31,2022-04-01 00:00:00
Clayton,13min,-0.0028913179843730527,0.03776404036016761,-0.07656272890288321,-0.05478106090573445,-12.175707402101573,263.28464247934136,-0.00049138123074286,-0.012222720624846249,-0.21471005297269824,0.09828710980168401,-0.345995286734683,0.008356524193319953,2022-01-28,2022-03-30,Not yet recovered
Clayton,14min,-0.0007223302703141352,0.024416152450521953,-0.029584115342411114,-0.026452611995576084,2.145342332989729,227.07377893686808,-0.000553929169545192,-0.007377020840189882,-0.10090319411865471,0.12512791581459295,-0.2063486568975209,0.0035005329386411594,2022-01-31,2022-03-30,Not yet recovered
Clayton,15min,0.001773029155750876,0.03569351206461854,0.04967370967981613,0.06538474967531553,14.495630126174733,384.6882819131298,-0.00060800445962635,-0.007274369895810786,-0.0980953930939911,0.2292633326699291,-0.1987416428217022,0.008921276540626766,2022-01-28,2022-03-30,2022-04-01 00:00:00
