,start_date,end_date,pair1,pair2,pair3,pair4,pair5
0,2008-01-14,2008-01-18,"('PFG', 'PRU')","('PPG', 'ZBRA')","('AMAT', 'COP')","('BEN', 'CCL')","('JKHY', 'UPS')"
1,2008-01-22,2008-01-25,"('AMGN', 'CAH')","('ECL', 'IRM')","('ABT', 'CHD')","('FDS', 'IP')","('ABC', 'REGN')"
2,2008-01-28,2008-02-01,"('AAP', 'AZO')","('CPB', 'PG')","('AXP', 'MAR')","('DD', 'SNA')","('ALL', 'RHI')"
3,2008-02-04,2008-02-08,"('PRU', 'T')","('CSX', 'PNC')","('ORLY', 'WYNN')","('ABT', 'WTW')","('BSX', 'KMB')"
4,2008-02-11,2008-02-15,"('CAG', 'GE')","('IBM', 'PFE')","('ADP', 'COST')",,
5,2008-02-19,2008-02-22,"('CMA', 'RMD')","('D', 'ITW')","('DHR', 'MMM')","('CNP', 'NI')","('ACGL', 'JNJ')"
6,2008-02-25,2008-02-29,"('EIX', 'TEL')","('CAT', 'IBM')","('AMT', 'STE')","('ITW', 'YUM')","('FE', 'GE')"
7,2008-03-03,2008-03-07,"('APH', 'MMM')","('PG', 'TECH')","('ABC', 'AEE')","('CAT', 'VMC')","('CHD', 'DIS')"
8,2008-03-10,2008-03-14,"('ATO', 'OMC')","('ABT', 'VTR')","('DOV', 'MCK')","('CHD', 'XRAY')","('EIX', 'NI')"
9,2008-03-17,2008-03-20,"('CCL', 'MAS')","('RL', 'VMC')","('PH', 'STT')","('PG', 'TT')","('SEE', 'TRMB')"
10,2008-03-24,2008-03-28,"('AJG', 'K')","('SO', 'T')","('ADP', 'CAG')",,
11,2008-03-31,2008-04-04,"('HD', 'LOW')","('BDX', 'MDT')","('AIG', 'ORLY')","('CHD', 'TTWO')","('FE', 'GD')"
12,2008-04-07,2008-04-11,"('FAST', 'TXN')","('MMM', 'TRV')","('PEP', 'SO')","('QCOM', 'TMO')","('CRL', 'UPS')"
13,2008-04-14,2008-04-18,"('GD', 'MMM')",,,,
14,2008-04-21,2008-04-25,"('PAYX', 'TT')","('DOW', 'MSFT')","('APD', 'OMC')","('CNP', 'XOM')","('AFL', 'CVX')"
15,2008-04-28,2008-05-02,"('BAX', 'CPRT')","('CAH', 'GE')","('MCD', 'MCHP')","('CVS', 'VZ')","('BBY', 'COST')"
16,2008-05-05,2008-05-09,"('DIS', 'NDSN')","('MAS', 'TSN')","('AMGN', 'K')","('ATVI', 'GIS')",
17,2008-05-12,2008-05-16,"('BA', 'KMB')","('CMI', 'IVZ')",,,
18,2008-05-19,2008-05-23,"('AZO', 'ITW')","('ADP', 'COST')","('SJM', 'WAT')","('APH', 'PG')","('GPC', 'WY')"
19,2008-05-27,2008-05-30,"('CSGP', 'FITB')","('DIS', 'TRV')","('FDS', 'WY')","('OKE', 'SRE')","('CEG', 'PXD')"
20,2008-06-02,2008-06-06,"('PFG', 'PHM')","('APH', 'T')","('MMM', 'STT')","('MMC', 'MSFT')","('ATVI', 'CL')"
21,2008-06-09,2008-06-13,"('EXPD', 'SBUX')",,,,
22,2008-06-16,2008-06-20,"('DOW', 'SO')","('EMN', 'SRE')","('CHRW', 'PNC')",,
23,2008-06-23,2008-06-27,"('AFL', 'ECL')","('BIIB', 'TXN')","('BMY', 'PKG')","('ALL', 'CB')","('SO', 'SRE')"
24,2008-06-30,2008-07-03,"('ADP', 'LLY')","('SBUX', 'TGT')","('DUK', 'JKHY')","('ABC', 'NRG')","('CVX', 'XOM')"
25,2008-07-07,2008-07-11,"('HIG', 'SYY')","('GILD', 'OMC')","('AMAT', 'ORCL')","('ADI', 'INTC')","('FRT', 'MCHP')"
26,2008-07-14,2008-07-18,"('FRT', 'MAS')","('NOC', 'ROK')","('BR', 'STT')","('CCI', 'NWS')","('BDX', 'EXC')"
27,2008-07-21,2008-07-25,"('DOW', 'TGT')","('CAH', 'HRL')","('AMGN', 'K')","('DGX', 'SNPS')","('IP', 'TEL')"
28,2008-07-28,2008-08-01,"('FDS', 'HPQ')","('NTAP', 'TDG')","('MRO', 'PPL')","('IR', 'TEL')","('LYV', 'WHR')"
29,2008-08-04,2008-08-08,"('BSX', 'CE')","('AJG', 'IBM')","('GE', 'HRL')","('GIS', 'MMM')","('BDX', 'GPC')"
30,2008-08-11,2008-08-15,"('ILMN', 'XOM')",,,,
31,2008-08-18,2008-08-22,"('MKTX', 'MSI')","('AVY', 'SEE')","('EBAY', 'SWK')","('SBAC', 'XOM')","('CVS', 'SYK')"
32,2008-08-25,2008-08-29,"('ADP', 'COST')","('ABT', 'CL')","('ACN', 'NKE')","('EMR', 'PFE')","('ALL', 'MCD')"
33,2008-09-02,2008-09-05,"('BLK', 'TROW')","('DIS', 'VFC')","('PRU', 'T')","('CI', 'TMO')","('D', 'HRL')"
34,2008-09-08,2008-09-12,"('EQT', 'HES')","('CAG', 'LRCX')","('KLAC', 'QCOM')","('DVN', 'EOG')","('PXD', 'WMB')"
35,2008-09-15,2008-09-19,"('DUK', 'KO')","('PG', 'WMT')","('HAS', 'LLY')","('DOV', 'GD')","('DOW', 'RHI')"
36,2008-09-22,2008-09-26,"('CDNS', 'INTC')",,,,
37,2008-09-29,2008-10-03,"('ADP', 'TMO')","('MCK', 'XRAY')",,,
38,2008-10-06,2008-10-10,"('D', 'MCD')","('LOW', 'SNPS')","('APA', 'APH')","('ADP', 'COST')","('DVN', 'SLB')"
39,2008-10-13,2008-10-17,"('PEP', 'VZ')","('APD', 'WAT')","('HUM', 'IDXX')","('APA', 'EOG')","('CCI', 'VLO')"
40,2008-10-20,2008-10-24,"('D', 'HSIC')","('CSX', 'NSC')","('ABC', 'BA')","('QCOM', 'UNP')","('EXPD', 'STE')"
41,2008-10-27,2008-10-31,"('GRMN', 'RHI')","('CTAS', 'INTU')","('SWK', 'YUM')","('GPN', 'LOW')","('JNJ', 'STE')"
42,2008-11-03,2008-11-07,"('INTC', 'SYK')","('CNC', 'NWL')","('SWK', 'VTR')","('FDS', 'MA')","('EIX', 'HSY')"
43,2008-11-10,2008-11-14,"('AVY', 'ITW')","('CTAS', 'STT')","('DISH', 'MO')",,
44,2008-11-17,2008-11-21,"('AAPL', 'YUM')","('D', 'JNJ')","('NOC', 'VFC')","('LMT', 'SNA')","('BMY', 'PEP')"
45,2008-11-24,2008-11-28,"('CNC', 'PAYX')","('AZO', 'SWK')","('KMB', 'KR')","('NUE', 'TRMB')","('BIIB', 'TXN')"
46,2008-12-01,2008-12-05,"('ADP', 'ECL')","('GWW', 'TSCO')","('AMZN', 'COST')","('COP', 'FDX')","('CF', 'PCAR')"
47,2008-12-08,2008-12-12,"('HAL', 'OXY')","('HUM', 'SEE')","('ETN', 'GLW')","('BAX', 'SO')","('HD', 'TGT')"
48,2008-12-22,2008-12-26,"('LH', 'PEP')","('PH', 'SJM')","('GPN', 'WMT')","('DUK', 'JNJ')","('CB', 'PG')"
